L3_UseCaseId,L1_Use_Case_Name,L1_Use_Case_Identifier,L2_Use_Case_Name,L2_Use_Case_Identifier,L3_Rule_Identifier,L3_Technical_Use_Case_Name,L3_Severity,L3_Priority,L3_Use_Case_Description
UC_0001,Command & Control,CC,Suspicious outbound network communication,CC-SNC,CC-SNC-07,Detect Data Obfuscation,3,5,https://attack.mitre.org/wiki/Technique/T1001
UC_0002,Actions on Objectives,AO,Data exfiltration,AO-EXF,AO-EXF-02,Detect Anomalous Compressed Data in Transit,3,5,https://attack.mitre.org/wiki/Technique/T1002
UC_0003,Actions on Objectives,AO,Credential theft,AO-CRE,AO-CRE-01,Detect Credential Dumping Attempt,3,5,https://attack.mitre.org/wiki/Technique/T1003
UC_0004,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-31,Detect Modifications of Winlogon Helper DLL Registry Keys,3,5,https://attack.mitre.org/wiki/Technique/T1004
UC_0005,Actions on Objectives,AO,Data collection,AO-COL,AO-COL-05,Detect Data Collection from Local System,3,5,https://attack.mitre.org/wiki/Technique/T1005
UC_0006,Actions on Objectives,AO,Detection evasion techniques,AO-EVA,AO-EVA-06,Detect File System Logical Offset Access,3,5,https://attack.mitre.org/wiki/Technique/T1006
UC_0007,Actions on Objectives,AO,Internal reconnaissance,AO-REC,AO-REC-16,Detect System Service Discovery Attempt,3,5,https://attack.mitre.org/wiki/Technique/T1007
UC_0008,Command & Control,CC,Suspicious outbound network communication,CC-SNC,CC-SNC-08,Detect Existence of Fallback Channels,3,5,https://attack.mitre.org/wiki/Technique/T1008
UC_0009,Actions on Objectives,AO,Detection evasion techniques,AO-EVA,AO-EVA-01,Detect Presence of Binary Padding to Files,3,5,https://attack.mitre.org/wiki/Technique/T1009
UC_0010,Actions on Objectives,AO,Internal reconnaissance,AO-REC,AO-REC-02,Detect Application Window Discovery Attempt,3,5,https://attack.mitre.org/wiki/Technique/T1010
UC_0011,Actions on Objectives,AO,Data exfiltration,AO-EXF,AO-EXF-07,Detect Exfiltration Over Other Network Medium,3,5,https://attack.mitre.org/wiki/Technique/T1011
UC_0012,Actions on Objectives,AO,Internal reconnaissance,AO-REC,AO-REC-09,Detect Anomalous Registry Query,3,5,https://attack.mitre.org/wiki/Technique/T1012
UC_0013,Actions on Objectives,AO,Installation of persistence mechanism,AO-PER,AO-PER-14,Detect Unauthorized Local Port Monitoring Installation,3,5,https://attack.mitre.org/wiki/Technique/T1013
UC_0014,Actions on Objectives,AO,Detection evasion techniques,AO-EVA,AO-EVA-17,Detect Rootkit Presence,3,5,https://attack.mitre.org/wiki/Technique/T1014
